Distribution,n,Method,Coverage,AvgWidth,Bias,MSE,TypeIError,MCStdErrCoverage
Normal,25,t-interval,0.9459,0.8166528368854676,-0.0027593752587184994,0.041572074827850164,0.0541,0.0022621491993235114
Normal,25,z-interval,0.9316,0.7755275273341933,-0.0027593752587184994,0.041572074827850164,0.0541,0.0025243105989556833
Normal,25,bootstrap,0.9212,0.7518631626326021,-0.0027593752587184994,0.041572074827850164,0.0788,0.002694263535736621
Normal,50,t-interval,0.9491,0.5658055806670884,0.0027800754034914554,0.019730642754811657,0.0509,0.002197935167378691
Normal,50,z-interval,0.9435,0.5518372937076286,0.0027800754034914554,0.019730642754811657,0.0509,0.0023088471149038865
Normal,50,bootstrap,0.9376,0.5410449828490461,0.0027800754034914554,0.019730642754811657,0.0624,0.002418806317173825
Normal,100,t-interval,0.9512,0.39562185979262743,-0.0010562793650013003,0.010030445508790571,0.0488,0.002154496692965667
Normal,100,z-interval,0.9482,0.3907861970790819,-0.0010562793650013003,0.010030445508790571,0.0488,0.0022162301324546592
Normal,100,bootstrap,0.9436,0.3854331390894232,-0.0010562793650013003,0.010030445508790571,0.0564,0.0023069252263565026
Normal,250,t-interval,0.953,0.24878797140518163,-0.0001556179398359836,0.003953400461021816,0.047,0.002116388433156826
Normal,250,z-interval,0.9515,0.2475787438927893,-0.0001556179398359836,0.003953400461021816,0.047,0.0021482027371735653
Normal,250,bootstrap,0.9469,0.24475662816655905,-0.0001556179398359836,0.003953400461021816,0.0531,0.0022423289232402998
Normal,500,t-interval,0.9466,0.17556603207760646,-0.00017971261358429302,0.002024599041812224,0.0534,0.0022482980229498045
Normal,500,z-interval,0.9461,0.17514020066026928,-0.00017971261358429302,0.002024599041812224,0.0534,0.0022582026038422674
Normal,500,bootstrap,0.9429,0.1733009175722933,-0.00017971261358429302,0.002024599041812224,0.0571,0.002320335967053048
Gamma,25,t-interval,0.937,0.5705454335799611,9.007976393360373e-05,0.019906148629790985,0.063,0.0024296296014001796
Gamma,25,z-interval,0.9259,0.5418136928582513,9.007976393360373e-05,0.019906148629790985,0.063,0.002619335602781744
Gamma,25,bootstrap,0.9172,0.5242477724034292,9.007976393360373e-05,0.019906148629790985,0.0828,0.002755796799475607
Gamma,50,t-interval,0.9443,0.3982107340071829,0.002294564542647315,0.009905157172454881,0.0557,0.0022934147030138265
Gamma,50,z-interval,0.9399,0.3883799334760333,0.002294564542647315,0.009905157172454881,0.0557,0.0023767202191255082
Gamma,50,bootstrap,0.9335,0.38046649261313287,0.002294564542647315,0.009905157172454881,0.0665,0.002491540688008125
Gamma,100,t-interval,0.9477,0.2790958428595675,0.0006975473036359148,0.004975134016785936,0.0523,0.002226313320267388
Gamma,100,z-interval,0.9444,0.2756844707945128,0.0006975473036359148,0.004975134016785936,0.0523,0.002291476379978637
Gamma,100,bootstrap,0.9401,0.2715989669349045,0.0006975473036359148,0.004975134016785936,0.0599,0.0023730147492166996
Gamma,250,t-interval,0.9457,0.17571835437201389,3.4563940017218187e-05,0.00199905720465094,0.0543,0.0022660871563115136
Gamma,250,z-interval,0.944,0.17486427984687186,3.4563940017218187e-05,0.00199905720465094,0.0543,0.002299217258111987
Gamma,250,bootstrap,0.9417,0.17284329394994152,3.4563940017218187e-05,0.00199905720465094,0.0583,0.002343098589475057
Gamma,500,t-interval,0.9456,0.12404181354372493,-0.0002798228125994173,0.0010055251938106424,0.0544,0.0022680529094357567
Gamma,500,z-interval,0.945,0.12374095294645947,-0.0002798228125994173,0.0010055251938106424,0.0544,0.0022798026230356006
Gamma,500,bootstrap,0.9425,0.12257112569507257,-0.0002798228125994173,0.0010055251938106424,0.0575,0.002327955111251074
LognormalModerate,25,t-interval,0.9141,0.6677674802909334,0.0013990033544308833,0.02965345054193339,0.0859,0.0028021632714743797
LognormalModerate,25,z-interval,0.903,0.6341397953128542,0.0013990033544308833,0.02965345054193339,0.0859,0.002959577672574247
LognormalModerate,25,bootstrap,0.8982,0.6099433633845153,0.0013990033544308833,0.02965345054193339,0.1018,0.0030238511868145895
LognormalModerate,50,t-interval,0.9233,0.4732660362022203,-0.0008281458441978806,0.01519835592169553,0.0767,0.0026611484362958782
LognormalModerate,50,z-interval,0.9177,0.4615823129804653,-0.0008281458441978806,0.01519835592169553,0.0767,0.0027482123280416315
LognormalModerate,50,bootstrap,0.9143,0.4506470492737026,-0.0008281458441978806,0.01519835592169553,0.0857,0.002799205422972741
LognormalModerate,100,t-interval,0.932,0.3376110925088271,0.0006170417812096929,0.007709620457354403,0.068,0.002517459036409529
LognormalModerate,100,z-interval,0.929,0.3334844919903925,0.0006170417812096929,0.007709620457354403,0.068,0.0025682484303509263
LognormalModerate,100,bootstrap,0.9242,0.32815549387806664,0.0006170417812096929,0.007709620457354403,0.0758,0.002646778419135232
LognormalModerate,250,t-interval,0.9439,0.21394551651243415,-0.00038932388740908763,0.003003840525137689,0.0561,0.002301147322532828
LognormalModerate,250,z-interval,0.9433,0.21290563985256752,-0.00038932388740908763,0.003003840525137689,0.0561,0.0023126848034265277
LognormalModerate,250,bootstrap,0.9405,0.2105087231120275,-0.00038932388740908763,0.003003840525137689,0.0595,0.0023655813239032808
LognormalModerate,500,t-interval,0.9466,0.151857711827559,-9.18943273383599e-05,0.0015223522999398096,0.0534,0.0022482980229498045
LognormalModerate,500,z-interval,0.9454,0.15148938440171322,-9.18943273383599e-05,0.0015223522999398096,0.0534,0.002271977992851163
LognormalModerate,500,bootstrap,0.9419,0.14971085592358754,-9.18943273383599e-05,0.0015223522999398096,0.0581,0.002339324475142344
LognormalHigh,25,t-interval,0.7765,1.590852023140648,-0.0009222175659626686,0.5725391224523386,0.2235,0.004165906263947858
LognormalHigh,25,z-interval,0.764,1.5107393008834846,-0.0009222175659626686,0.5725391224523386,0.2235,0.004246221850068599
LognormalHigh,25,bootstrap,0.7766,1.3960701194605234,-0.0009222175659626686,0.5725391224523386,0.2234,0.0041652423698987796
LognormalHigh,50,t-interval,0.8218,1.2024202189339277,-0.0024038832350408157,0.16494381131113342,0.1782,0.0038268101599112543
LognormalHigh,50,z-interval,0.8156,1.1727355512003168,-0.0024038832350408157,0.16494381131113342,0.1782,0.0038781005659987724
LognormalHigh,50,bootstrap,0.8269,1.1126223499550483,-0.0024038832350408157,0.16494381131113342,0.1731,0.003783337019087779
LognormalHigh,100,t-interval,0.8493,0.9181087073310773,0.0015137029300207328,0.08451269695894183,0.1507,0.003577562158789138
